GID;RANGO UNAP
100240;5
100242;5
100243;5
100288;5
100290;5
100291;5
100292;5
100293;5
100295;5
100296;5
100299;5
100300;5
100302;5
100303;5
100304;5
100305;5
100306;5
100307;5
100308;5
100309;5
100310;5
100311;5
100332;5
100335;5
100336;5
100337;5
100338;5
100339;5
100340;5
100341;5
100342;5
100343;5
100344;5
100345;5
100347;5
100348;5
100349;5
100350;5
100351;5
100353;5
100354;5
100355;5
100356;5
100357;5
100359;5
100361;5
100362;5
100363;5
100364;5
100366;5
100368;5
100369;5
100370;5
100373;5
100375;5
100376;5
100377;5
100378;5
100379;5
100383;5
100386;5
100388;5
100389;5
100392;5
100393;5
100394;5
100395;5
100396;5
100397;5
100398;5
100400;5
100402;5
100407;5
100410;5
100411;5
100412;5
100413;5
100415;5
100417;5
100418;5
100419;5
100421;5
100424;5
100426;5
100427;5
100428;5
100429;5
100430;5
100431;5
100433;5
100434;5
100435;5
100436;5
100437;5
100438;5
100439;5
100442;5
100443;5
100444;5
100449;5
100450;5
100451;5
100452;5
100453;5
100454;5
100455;5
100457;5
100458;5
100459;5
100460;5
100461;5
100462;5
100463;5
100464;5
100465;5
100466;5
100467;5
100468;5
100469;5
100471;5
100472;5
100473;5
100474;5
100475;5
100476;5
100477;5
100479;5
100480;5
100481;5
100482;5
100483;5
100484;5
100485;5
100486;5
100487;5
100488;5
100489;5
100491;5
100492;5
100493;5
100494;5
100496;5
100498;5
100503;5
100504;5
100505;5
100506;5
100507;5
100508;5
100509;5
100510;5
100511;5
100512;5
100513;5
100514;5
100533;5
100535;5
100536;5
100537;5
100538;5
100540;5
100541;5
100543;5
100544;5
100546;5
100551;5
100552;5
100553;5
100556;5
100557;5
100558;5
100559;5
100560;5
100561;5
100562;5
100563;5
100564;5
100565;5
100566;5
100567;5
100569;5
100570;5
100571;5
100572;5
100573;5
100574;5
100575;5
100576;5
100577;5
100578;5
100579;5
100581;5
100582;5
100584;5
100585;5
100586;5
100587;5
100588;5
100591;5
100592;5
100593;5
100594;5
100595;5
100596;5
100597;5
100599;5
100601;5
100603;5
100605;5
100606;5
100607;5
100608;5
100609;5
100610;5
100611;2
100615;2
100616;2
100617;2
100618;2
100619;2
100622;2
100623;2
100624;2
100625;2
100629;2
100630;5
100631;2
100633;2
100634;2
100635;2
100636;2
100637;2
100638;2
100639;2
100641;2
100642;2
100643;2
100645;2
100646;2
100647;2
100650;2
100651;2
100654;1
100656;1
100661;1
100663;1
100664;1
100665;2
100668;5
100670;5
100676;1
100679;1
100682;2
100683;2
100684;5
100685;2
100687;2
100690;2
100691;1
100693;2
100695;2
100697;2
100698;2
100699;2
100700;5
100701;1
100705;1
100707;1
100708;1
100709;1
100711;1
100712;1
100720;1
100725;1
100727;1
100728;1
100730;1
100731;1
100732;1
100741;1
100747;1
100749;1
100755;1
100756;1
100758;1
100759;1
100760;1
100762;1
100764;1
100765;1
100766;1
100767;1
100768;1
100770;1
100772;1
100773;1
100774;1
100775;1
100776;1
100777;1
100778;1
100779;1
100780;1
100787;1
100788;5
100790;5
100791;5
100794;5
100796;5
100804;1
100805;1
100806;1
100807;1
100809;1
100892;5
100933;5
101332;5
101333;1
101334;1
101336;1
101337;1
101339;1
101350;1
101355;1
101356;1
101358;1
101359;1
101364;1
101366;1
101367;1
101372;1
101377;1
101378;1
101383;1
101384;1
101386;1
101387;1
101388;1
101390;1
101391;1
101393;1
101394;1
101395;1
101396;1
101398;1
101400;1
101401;1
101402;1
101404;1
101406;1
101409;1
101410;1
101416;1
101418;1
101419;1
101420;1
101421;1
101423;1
101424;1
101425;1
101427;1
101428;1
101431;1
101432;1
101434;1
101435;1
101512;1
101513;1
101514;1
101515;5
101516;1
101517;1
101518;5
101520;5
101523;5
101524;5
101525;5
101527;1
101528;5
101529;5
101530;1
101532;1
101534;1
101536;1
101537;1
101538;1
101541;1
101542;1
